eps,n,s0,H0rd,M_B,chi2_total,delta_lcdm,delta_eps0
-0.02,-0.48,0.17385005250566626,10036.21421334977,-19.353615862995124,1769.7224807927062,-2.733519207293739,-2.8411842775226432
-0.018,-0.482,0.15891162562432623,10039.070581554057,-19.35381737331559,1769.940671861311,-2.515328138688801,-2.6229932089177055
-0.016,-0.484,0.1423087680136215,10041.92086507399,-19.35401788329133,1770.1626038647833,-2.2933961352166534,-2.401061205445558
-0.014,-0.486,0.12337031939920313,10044.765098878052,-19.354217394321502,1770.3882206736062,-2.0677793263937474,-2.1754443966226518
-0.012,-0.488,0.10078724451687995,10047.603138243005,-19.354415900008913,1770.617466392076,-1.838533607923864,-1.9461986781527685
-0.01,-0.49,0.07116929008532194,10050.434980257558,-19.35461341206516,1770.8502853580094,-1.6057146419905166,-1.713379712219421
-0.008,-0.492,0.0010000030139351742,10053.146515341692,-19.354805411832213,1771.086626362547,-1.369373637453009,-1.4770387076819134
-0.006,-0.494,0.0010000001602744899,10046.200498093673,-19.35461545111927,1771.3581019328851,-1.0978980671147838,-1.2055631373436881
-0.004,-0.496,0.0010000000464483805,10039.264051847429,-19.354425426950638,1771.6948476192442,-0.761152380755675,-0.8688174509845794
-0.002,-0.498,0.0010000000091547297,10032.337219344205,-19.35423533604531,1772.0967424207959,-0.35925757920404067,-0.46692264943294504
0.0,-0.5,0.0010000000054335026,10025.419894704733,-19.354045178183238,1772.5636650702288,0.10766507022890437,0.0
0.002,-0.502,0.0010000000115785333,10018.512085965325,-19.353854958776463,1773.0954940381146,0.6394940381146625,0.5318289678857582
0.004,-0.504,0.0010000000032539783,10011.613829811107,-19.353664674654052,1773.6921075372568,1.2361075372568848,1.1284424670279805
0.006,-0.506,0.0010000000071819395,10004.725084143469,-19.353474322706045,1774.3533835270343,1.8973835270344352,1.7897184568055309
0.008,-0.508,0.001000000001646757,9997.845750643468,-19.353283911878048,1775.0791997176775,2.6231997176776076,2.5155346474487033
0.01,-0.51,0.0010000000172693787,9990.975992801981,-19.353093431766094,1775.8694335745333,3.4134335745334283,3.305768504304524
0.012,-0.512,0.0010000000042813032,9984.115687180514,-19.352902888437338,1776.7239623223725,4.2679623223725685,4.160297252143664
0.014,-0.514,0.0010000000010908733,9977.26474018914,-19.35271227863687,1777.642662949525,5.186662949525044,5.078997879296139
0.016,-0.516,0.0010000000002515284,9970.423249048203,-19.35252160773261,1778.625412212168,6.169412212168027,6.061747141939122
0.018,-0.518,0.0010000000062820667,9963.59114303832,-19.35233087280083,1779.6720866384508,7.216086638450861,7.1084215682219565
